family,draw,n,tau,cum_frac_dir,cum_frac_bc
summarise_transactions,peer,8,1.0,1.0,1.0
compute_invoices,peer,2,0.0,0.5,0.5
compute_invoices,peer,2,0.05,1.0,1.0
compute_invoices,peer,2,0.1,1.0,1.0
compute_invoices,peer,2,0.15,1.0,1.0
compute_invoices,peer,2,0.2,1.0,1.0
compute_invoices,peer,2,0.25,1.0,1.0
compute_invoices,peer,2,0.3,1.0,1.0
compute_invoices,peer,2,0.35,1.0,1.0
compute_invoices,peer,2,0.4,1.0,1.0
compute_invoices,peer,2,0.45,1.0,1.0
compute_invoices,peer,2,0.5,1.0,1.0
compute_invoices,peer,2,0.55,1.0,1.0
compute_invoices,peer,2,0.6,1.0,1.0
compute_invoices,peer,2,0.65,1.0,1.0
compute_invoices,peer,2,0.7,1.0,1.0
compute_invoices,peer,2,0.75,1.0,1.0
compute_invoices,peer,2,0.8,1.0,1.0
compute_invoices,peer,2,0.85,1.0,1.0
compute_invoices,peer,2,0.9,1.0,1.0
compute_invoices,peer,2,0.95,1.0,1.0
compute_invoices,peer,2,1.0,1.0,1.0
compute_invoices,peer,4,0.0,0.009259259259259259,0.2356060606060606
compute_invoices,peer,4,0.05,0.0601010101010101,0.46893939393939393
compute_invoices,peer,4,0.1,0.35673400673400674,0.6954545454545454
compute_invoices,peer,4,0.15,0.44713804713804717,0.8083333333333333
compute_invoices,peer,4,0.2,0.5043771043771044,0.8916666666666666
compute_invoices,peer,4,0.25,0.5809764309764309,0.975
compute_invoices,peer,4,0.3,0.7151515151515152,0.9916666666666666
compute_invoices,peer,4,0.35,0.8658249158249158,1.0
compute_invoices,peer,4,0.4,0.9028619528619528,1.0
compute_invoices,peer,4,0.45,0.9250841750841752,1.0
compute_invoices,peer,4,0.5,0.9250841750841752,1.0
compute_invoices,peer,4,0.55,0.9713804713804713,1.0
compute_invoices,peer,4,0.6,0.9814814814814815,1.0
compute_invoices,peer,4,0.65,0.9814814814814815,1.0
compute_invoices,peer,4,0.7,0.9814814814814815,1.0
compute_invoices,peer,4,0.75,1.0,1.0
compute_invoices,peer,4,0.8,1.0,1.0
